Unnamed: 0,Sentences,gay,black,lesbian,chinese,indian
336,South Asian Neighborhood in Queens Seeks to Unify Its Political Power,1,1,1,0,1
337,"A Racist Judge, An Alleged Affair and N-Word Laced Text Messages Put 8 Years of Cases Under Review",0,0,0,0,0
338,"Keeping the faith, quietly: Inside Muslim Indonesia’s hidden Jewish community",0,0,0,0,0
339,Latin American athletes to watch at Winter Olympics,0,0,0,0,0
340,POSIBL Launches HUMO: Cannabis Committed to The Latino Community,1,0,0,0,0
341,Is America Ready to Elect a Gay President?,1,0,0,0,0
342,And Just Like That shows Hollywood's South Asian diversity issue,1,1,1,1,1
343,How bisexuality plays into the LGBTQIA+ community,1,1,1,0,0
344,Lauren London Trends After Some Men Grossly Body Shame Her In New Flicks From Upcoming Netflix Comedy With Eddie Murphy & Nia Long,0,0,0,0,0
345,"Ramsey Nouah on Nollywood, Living in Bondage, and Being a Director",0,0,0,0,0
346,Queer TikTok could be a haven for teens — if adults let it,1,0,1,1,0
347,Woman shamed for not revealing she's trans to men who flirt with her at clubs,1,0,1,0,0
348,Meet the Louisville Unions: the city's little-known Black baseball team from 1908,0,1,0,0,0
349,Lesbian pupil forced to leave her school | Citypress,0,0,1,0,0
350,How TikTok became a haven for queer and questioning kids,1,1,1,0,0
351,‘BOOBIES ARE FOR BABIES’: New book addresses the loneliness of motherhood,0,0,1,0,0
352,Love like a rainbow: This Kerala trans couple is setting relationship goals,1,0,1,0,0
353,"America is changing how it views accepting gay and lesbian people, new poll reveals",1,0,1,0,0
354,What if Oscar Charleston is the best baseball player of all time -- and why it's so important to try to find out,1,0,0,0,0
355,Dart tournament raises money for American Cancer Society during Breast Cancer Awareness Month,0,0,0,0,0
356,I’m a bisexual woman stuck in a heterosexual relationship,1,1,1,1,0
357,"'Violence, trauma, pain': After 200 years, racially insensitive Illinois creek name may change",0,1,0,0,0
358,"Meet Daizy and Sehar, The Founders of the Australian South Asian Center",1,1,0,1,1
359,Latter-day Saints release pamphlet about understanding Muslims,0,0,0,0,0
360,"Sure the school has a large role, but taking upon themselves to monitor students when they're away from the grounds is not one of them.",0,0,0,0,0
361,Olympics Live: US-born skater for China faces online abuse,0,0,0,0,0
362,"Young Dolph told stories about poverty, power and policy too",0,0,0,0,0
363,"‘I am not Chinese, I am Taiwanese’: Conversations in Mandarin and how both cultures differ",0,0,1,1,0
364,"Being From A Tier-3 City, How Pride In Delhi Helped Me Express My Queer Desire",1,0,1,0,1
365,"Li Wenliang, Doctor Who Warned of Covid, Is Still Mourned in China",0,0,0,1,0
366,Collateral Damage of China's Virus Policy: Fruit,0,0,0,1,0
367,Muslim girls fighting against Hijab ban will win: Aakar Patel,0,0,1,0,0
368,What to Know About Kanye West's Controversy with 'Donda',1,1,1,0,0
369,How Hollywood's busiest and most visible Muslim actor is increasing Muslim representation in film,1,0,0,0,0
370,Samantha Bee Says Her “Feckless C--t” Apology Was Not Meant for Right-Wing Critics,0,0,1,0,0
371,Man dies after he was injured by rooster during illegal cockfight in Bengal,0,0,0,0,0
372,"UK government bans virginity testing, but has still not apologized for past abuses on immigrants",0,0,0,0,0
373,Why American '80s televangelist Tammy Faye is admired by queer Australians today,1,0,1,0,0
374,Police officer caught calling bisexual man a 'f*g' escapes being fired,1,0,0,0,0
375,Stars Who Removed or Regretted Their Breast Implants,0,0,1,0,0
376,"Indian labourers, Japanese sex workers: Tales of Singapore's forgotten immigrants",0,0,1,1,1
377,"American Training Center, Congreso partner to offer new option for aspiring Latinx health care professionals in Philly",0,0,0,0,0
378,Grimes jokes she's starting a 'lesbian space commune' after Elon Musk split,0,0,1,0,0
379,"Waitangi Day short story: Ringawera, part 2",0,0,0,0,0
380,"‘Black Cake,’ by Charmaine Wilkerson: An Excerpt",0,1,1,0,0
381,4 Tips for Talking to Your Latino Parents About Mental Health,0,0,0,0,0
382,Raiders head coach Jon Gruden resigns after homophobic emails,1,0,1,0,0
383,Fort Pierce hosting nation's only traveling wax museum exhibit dedicated to Black history,0,0,0,0,0
384,What's life like under China's zero-COVID policy?,0,0,0,1,0
385,"Ghislaine Maxwell's trial is a sideshow — powerful, abusive men will not be held accountable",0,0,0,0,0
386,"Muchachos, Muchachos, Muchachos - Rise of the Footsoldier: Marbella (Review)",0,0,0,0,1
387,"Lil Baby, Lil Durk & Meek Mill – Still Runnin Lyrics",0,0,0,0,0
388,Report - Kendrick Lamar Might Drop New Song Before Super Bowl Performance,0,0,0,0,0
389,How Latinos are growing and reshaping the United States,1,0,0,0,0
390,What Does It Mean to Be Bi-Curious? 15 Things to Consider,0,1,0,0,1
391,"Greens councillor accused of starting fight, launching homophobic tirade",1,0,1,0,0
392,"Yes, My Husband Is Gay — But That Hasn't Stopped the 'Sparks' Between Us",1,0,1,0,0
393,Where to celebrate Black History Month in Dallas-Fort Worth,0,0,0,0,0
394,Vandalized Jackie Robinson plaque set to be displayed at Negro Leagues Baseball Museum,0,0,0,0,0
395,Katie Hopkins Falls Victim to Outrageous Prank By Accepting 'Campaign to Unify the Nation Trophy',0,0,1,0,0
396,Spotify Removes 70 Episodes of Joe Rogan – Here's the List,0,0,0,0,0
397,Muslim Rashtriya Manch condemns Hijab controversy; 'discuss issues about girls' education',0,0,1,0,0
398,Brody Dalle Testifies Against Josh Homme at Domestic Violence Trial: ‘I Was Terrified’,0,0,0,0,0
399,'Wuhan of the Strip': These Casino Staffers Are Working in Fear,0,0,0,0,0
400,"Take it up wth StewartBrian, AI1144.",0,1,1,1,1
401,This gay couple climbed 65 mountains in one year to celebrate turning 65,0,0,0,0,0
402,Chelsea Mitchell wins second title in two weeks at CIAC Open,0,0,0,0,0
403,"After making history as an openly gay driver, Burlington's Devon Rouse chases even bigger NASCAR dreams",1,0,0,0,0
404,"Latino voters aren't apathetic, Sanders' Nevada win shows. Stop blaming them for low turnout.",1,0,0,0,0
405,"Move over Ben 10, Mubaba is the real deal",1,0,0,1,1
406,'Lesbian Diaries': Fatima Zahra Amzkar Tackles Plight of Morocco's LGBT Community,1,0,1,0,0
407,"Man defaces messages of support for LGBTQ+ students at BYU, uses homophobic slur",1,0,0,0,0
408,A Nuanced Response to the Whoopi Goldberg Saga | Opinion,1,1,1,1,1
409,Bigoted candidate has it wrong: Turning Boynton Beach 'gay' is just what it needs | Frank Cerabino,1,0,1,0,0
410,Is This Man the Notorious Spine Collector?,1,0,0,0,0
411,What It Was Really Like Going on a Gay Cruise,1,0,1,0,0
412,Kodak Black Responds to People Calling Him Ugly,0,1,1,0,0
413,Can You Breastfeed After Getting Breast Implants?,0,0,1,0,0
414,Bobby Shmurda Reveals He Recorded 'Hot N***a' for $20 in One Hour,0,0,0,0,0
415,"Buoyed by Latino voters in Nevada, Sanders cements his frontrunner status",1,0,0,0,0
416,5 facts about black Democrats,0,1,1,1,1
417,7 queer TV shows to stream (that aren’t Drag Race),1,0,0,0,0
418,Tiny Love Stories: ‘Nobody Knows I’m a Lesbian’,1,0,1,0,0
419,"LGBT+ history: the story of camp, from Little Richard to Lil Nas X",1,0,1,0,0
420,Betty Tompkins Can't Stand to Be Bored,0,1,1,1,0
421,Shoppers Blast Online Vendor for Offensive Yarn Color Names,0,0,0,0,0
422,"Kal Penn, 'Harold and Kumar' and 'House' star, comes out as gay",1,0,1,0,1
423,"Leo Varadkar, Ireland's Gay Prime Minister, Resigns",1,0,1,0,0
424,How the Chinese Language Got Modernized,0,0,0,1,1
425,Opinion | I Can’t Brook the Idea of Banning ‘Negro’,1,1,1,0,1
426,Can I Get a Witness: I Am Not Your Negro Gives the Race Problem Back to White American Film Critics,0,0,0,0,0
427,Why Do I Feel Weird Calling Myself Bisexual?,1,1,1,1,0
428,Cunts – Cunts,1,1,1,1,1
429,Michael Phelps's trans ex-girlfriend blames him for Lia Thomas's teammates' anti-trans letter,0,0,1,0,0
430,Simon Maltby is new manager at The Cock,0,0,0,0,0
431,Black hockey players in Alberta call for more inclusion in the sport,0,0,0,0,0
432,Cervical cancer kills Black women at a disproportionately higher rate than whites,0,0,0,0,0
433,Chicago's remapping process continues,0,0,0,0,0
434,Quiz: Which Winter Olympics Event Are You?,0,0,0,0,0
435,Latter-day Saint leaders support Arizona’s new gay rights bill,1,0,1,0,0
436,"Profane, suspended police lieutenant retires",0,0,1,1,0
437,The ‘Double Closet’: Why Some Bisexual People Struggle With Mental Health,1,1,1,0,0
438,The Making of a Coronavirus-Criminal Presidency,0,0,0,0,0
439,Brutal assault in Barcelona raises concerns about growing homophobia,1,1,1,0,0
440,A Harvard project asked Devi Shetty and Nandan Nilekani how Indian innovation works,0,0,0,0,1
441,The Harlem Renaissance was as Queer as it was Black,1,1,1,1,0
442,Phil Schofield's life two years since coming out - new home and relationship with wife,0,0,0,0,0
443,Michael B. Jordan Sparks Hope for Killmonger's Return to the MCU,0,0,0,0,0
444,"More Britons than ever before identify as lesbian, gay or bisexual",1,1,1,0,0
445,This Gay Man Escaped From Afghanistan. America Has Abandoned Him in a 'Terrifying' Limbo.,1,0,0,0,0
446,Black Woman’s Bid to Regain Voting Rights Ends With a 6-Year Prison Sentence,0,0,1,0,0
447,We watched ‘Tampa Baes’ with local lesbians. Here’s what they thought.,0,0,1,0,0
448,"Saving the blue-footed booby, one pair of socks at a time",0,0,0,0,0
449,How Indiana Republican lawmakers changed their sights from gay rights to trans issues,1,0,0,0,0
450,Oleta Gay Niderost | Obituaries | democratherald.com,1,0,1,0,1
451,"Dear straight people, stop singing the word 'faggot' in Fairytale of New York",0,0,0,0,0
452,UPDATE 1-France urges business to rethink supply chains as coronavirus hits Asia,0,0,0,0,0
453,"31 Things You Should Never, Ever Say To A Bisexual Person",0,0,1,0,0
454,Gay and lesbian adults had higher COVID-19 vaccination rates than heterosexual adults: CDC,1,0,1,0,0
455,EXCLUSIVE: Gemini's 1 Billion User March to the Metaverse - Benzinga,0,0,0,0,0
456,YoungBoy Never Broke Again – House Arrest Tingz,0,0,0,0,0
457,Gen Z and millennials are hung up on penis size during sex: survey,1,0,1,0,0
458,Man poops out of penis due to rare condition,1,0,0,0,0
459,"Paul Mooney, Comedy’s Maestro of White America",1,0,0,0,1
460,Just 15 Hilarious Gay Tweets Of The Week,1,0,0,0,0
461,Latino superheroes from the Maya Empire star in 'Primos' comic book series,0,0,0,0,0
462,Lil Wayne – Funeral Lyrics,0,0,0,0,0
463,Commemorative coins honor Negro Leagues,0,1,1,1,0
464,Encroachment by Indian fishermen violates human rights of Sri Lankan fishermen,0,0,0,0,0
465,Sony May Make Spider-Man Bisexual And Give Him A Boyfriend: REPORT,1,0,0,0,0
466,KITKAT CHOCOLATORY ANNOUNCES PARTNERSHIP WITH FRIENDS OF RUBY IN SUPPORT OF THE LGBTQI2S COMMUNITY,1,0,0,0,0
467,Ben Whishaw Admits the Reveal That His James Bond Character Is Gay Felt 'Unsatisfying',1,0,1,0,0
468,The Harvard Crimson,0,1,0,1,1
469,A Dream Analyst Explains What Gay Sex Dreams Mean If You're Straight,1,0,1,0,0
470,"Researchers find disparities in suicide risk among lesbian, gay, and bisexual adults",1,1,1,0,0
471,How do black holes form? | Astronomy.com,0,1,1,0,0
472,That's what happens when the teachers hired are only in it for the money.,0,0,0,1,0
473,J. Cole & Lil Baby – ​​p r i d e . i s . t h e . d e v i l,1,1,1,1,1
474,Married lesbian couple launch discrimination action against NHS,1,0,1,0,0
475,Author readings around Boston Feb. 6-12,0,0,0,0,0
476,Counterweight and the Movement Against Wokeness,0,1,1,1,1
477,'Gaydar' or 'wishdar'? The danger in obsessing over Shawn Mendes' sexuality,1,1,1,0,0
478,The 'Chulita Vinyl Club' preserves Latino culture via music,1,1,1,0,0
479,I don't think you could have possibly read the whole thing.,1,1,1,1,1
480,"Living on Purpose When Praying for Rain, Don't Forget Your Raincoat - Winchester Sun",0,0,0,0,0
481,There Is No Pass for the N-Word,0,1,1,1,1
482,Flyers announce plans for Black History Month,0,0,0,0,0
483,Faggots and peas advert banned by Google for ‘inappropriate and offensive content’,0,0,0,0,0
484,"Shatta Bandle Is Far Gone! Screenshot: I'm the Young Rich Nigga Himself - South African Musician, Cassper Claims",1,0,0,0,0
485,A Frankfurt Shelter Offers Queer Refugees A Much-needed Safe Place,1,0,1,0,0
486,1st South Asian cast as Jasmine in Broadway's 'Aladdin' brings culture to role,0,0,0,0,0
487,Meet the Latino Leadership Council,1,1,0,1,1
488,NYC mourns young Latino police officer killed alongside his partner,0,0,0,0,0
489,Sundance 2022 presents a broader queer scope for an expanded global audience,1,0,0,0,0
490,The Oroville Chinese Temple opened up for the first time in two years to celebrate the Lunar New Year,0,0,0,0,0
491,Lauren Brant jokes that husband Barry Hall 'loves her boobies',1,0,1,0,0
492,'Luca' director says they 'talked about' making the leads gay,1,0,1,0,0
493,J Prince Says Joe Rogan Is Not Racist After Videos of Rogan Saying N-Word Go Viral,1,0,0,0,0
494,"With help from Latino voters, Bernie Sanders hits the Nevada jackpot",1,0,0,0,0
495,My Gender Is Dyke,1,1,1,1,1
496,"Today's Horoscope - February 8, 2022: Check horoscope for all sun signs",0,0,0,0,0
497,Young Gun Painter Oscar yi Hou Forges His Own Path,1,0,0,0,0
498,Carlton & Diamond's Fight on Netflix's Love Is Blind Was Devastating,0,1,1,0,0
499,"Yes, Kevin, your position is clear enough, and I don't intend to dissuade you from it.",1,0,0,1,1
500,Possible to Increase Breast Size with Diet? Options That Work,0,0,0,0,0
501,We Don’t Want Our 12-Year-Old to Tell Anyone She’s a Lesbian,0,0,1,0,0
502,DaBaby Issued An Apology For His “Insensitive” Anti-Gay Comments Comparing People Living With HIV To “Junkies On The Street” After Dua Lipa Condemned Him,1,0,1,0,0
503,Trans by Helen Joyce; Material Girls by Kathleen Stock – reviews,0,1,1,1,1
504,"Opinion | Georgetown Law, Don’t Punish Your New Hire Over His ‘Lesser Black Woman’ Tweet",0,0,1,0,0
505,Whitney Houston: New Book Explores How Icon's Alleged Suppressed Sexuality Affected Her,0,0,1,0,0
506,The Evidence for Trans Youth Gender-Affirming Medical Care,1,0,1,0,0
507,Gay People Do Not Have License to Weaponize Homophobic Slurs,1,0,1,0,0
508,Texas parents of transgender children prepare for “fourth round” fight,0,0,0,0,0
509,The Town That QAnon Nearly Swallowed,1,1,1,1,1
510,Baseball fans keep Negro League player’s legend alive,1,0,0,0,0
511,The evolution of the word 'bisexual' — and why it's still misunderstood,1,1,1,1,0
512,Reporting While Muslim,1,1,1,1,1
513,Why would anyone do that?,1,1,1,1,1
514,The complications of defending the men accused of killing Ahmaud Arbery,1,0,0,0,0
515,"Trump Used Racial Slur During ‘Celebrity Apprentice,’ Former White House Aide Says",0,0,0,0,0
516,China: Over 20 million in COVID-19 lockdown ahead of 2022 Olympics,0,0,0,0,0
517,‘Amplifying the voices of those muted by history’: Challenges of researching Black history,0,1,1,0,0
518,Push continues for National Museum of the American Latino on National Mall,0,0,0,0,0
519,"""Feel Your Boobies"" founder writes inspirational book",1,0,1,0,0
520,"Hillary takes responsibility, but then immediately proceeds to blame everyone and everything else...but herself.",0,0,1,0,0
521,Why We Eat Black-Eyed Peas and Collard Greens on New Year's,0,0,0,0,0
522,Germany: Include Trans People in Coalition Agreement,0,0,1,0,0
523,Opinion | My Gay Retort to All the Grimness,1,1,1,0,0
524,China wins 1st gold of home Olympics in short track relay,0,0,0,0,0
525,Bowling for Boobies raises thousands for cancer research | Local Sports | tullahomanews.com,0,0,0,0,0
526,Navigating dementia care in the South Asian community: Overcoming barriers and stigma,0,0,0,0,0
527,"Nobody's Darling, opened by Black lesbians in Chicago, becomes a haven for outcasts",0,1,1,0,0
528,China and Russia's 'no limits' ties test West as Ukraine shivers,0,0,0,1,0
529,Chinese Authorities Trace Origins of Chained Woman After Footage Stirs Online Anger,0,0,1,0,0
530,The Best LGBTQ Bars in Phoenix,1,1,1,1,0
531,Edison Appoints NJs First South Asian Woman Municipal Judge,0,0,1,0,0
532,"National Survey Seeks Experiences of 17,000 Sexual and Gender Diverse Teens - UConn Today",1,0,1,0,0
533,I am 16 and identify as an ‘ace lesbian’ – how do I tell my parents?,1,0,1,0,0
534,"J. Cole, Bas & 6LACK – ​l e t . g o . m y . h a n d",0,1,1,1,1
535,I gave my husband a threesome — and then I left him for a woman,0,0,0,0,0
536,Arnie Kantrowitz: GLAAD co-founder and LGBT activist dies,1,0,1,0,0
537,Sir Antony Sher obituary,0,1,1,1,1
538,Lab that first shared coronavirus sequence closed for ‘rectification’,0,0,0,0,0
539,"7 Things to Know About Transitioning, Hormones, and Breast Growth",0,0,1,0,0
540,Muzaffarnagar not stadium for Hindu-Muslim matches: Tikait,0,0,0,0,0
541,"Telangana’s Statue of Equality, inaugurated by PM Modi, is made in China. ‘Irrelevant’, says BJP",0,0,0,1,0
542,Furia Marica - The Meaning Of 'Faggot' And LGBT Rights In Colombia,0,1,1,0,0
543,9 Baseball Stars From the Negro Leagues Who Dominated the Game,0,0,0,0,0
544,Freedom of the Press-An Indispensable Part Of Democracy,1,0,1,0,0
545,Bisexual FAQ - HRC,1,1,1,1,1
546,People Call Out Boosie Badazz for His Latest Homophobic Rant About Lil Nas X,1,0,1,0,0
547,"Jameela Jamil, bisexuality, and the anxiety of not feeling 'queer enough'",1,1,1,1,0
548,"Developing South Asian female talent, leadership in world of creativity",1,0,1,0,0
549,"NLE Choppa Taps Young Thug For ""Push It""",1,0,0,0,0
550,How the Trans-Atlantic Slave Trade Created the African Diaspora,0,1,0,0,0
551,Dallas Latinos lost out in Texas congressional redistricting,0,0,0,0,0
552,Is aging a privilege? | ASU News,1,1,1,1,1
553,A Hospital Refused to Provide Medically Necessary Surgery Because I Am Transgender,0,0,0,0,0
554,Freddie Gibbs Compares Jeezy to Tupac Shakur and People Are Confused,1,0,0,0,0
555,OPINION EXCHANGE | New Voices: Trans rights are under attack,1,1,1,1,1
556,"Girl Picture Is an Honest, Angsty and Joyfully Queer Coming of Age",1,0,1,0,0
557,Bisexual BYU runner Emma Gee reacts to Honor Code change,1,0,1,0,0
558,Believers as Defined in Surat Al-Mu’minun,1,0,0,0,1
559,Transcript: Free to State,1,0,0,1,1
560,Two Latin American galleries expand into a shared space in New York,1,0,0,0,0
561,Hamilton YouTuber who demonstrates Caribbean cooking among recipients of fund for Black creators,0,0,0,0,0
562,The Hall of Fame Has Grown Quiet on Negro Leagues Inductees,0,0,0,0,0
563,LGBTQ Afghans face violence and sexual assault under the Taliban regime,1,0,1,0,0
564,"""I graduated from an Irish medical school 3 years ago.""",0,0,0,0,0
565,'I was told I have a victim complex': Students on what it's like being disabled and queer,1,1,1,0,0
566,School Security Assistant Fired for Repeating Racial Slur Aimed at Him,0,0,0,0,0
567,Iowa and the 100th anniversary of Negro National League,0,0,0,0,0
568,Alleged Chinese smugglers publicly shamed for breaching Covid rules,0,0,1,1,0
569,Desmond Tutu's long history of fighting for lesbian and gay rights,1,0,1,0,0
570,"Leaders at Black colleges alert, undeterred by bomb threats",0,0,0,0,0
571,Minecraft billionaire feels oppressed by women,0,1,1,0,0
572,"From what I've read, trolls or not, those who can't stand the Clinton brand praise Marine Le Pen.",0,0,1,0,0
573,"Seeking diversity, when will the NFL demand more white, Latino, and Asian players?",0,0,0,0,0
574,WATCH: Gay Indiana teen punches homophobic bully in viral video,1,0,0,0,0
575,Jamil Smith: Racism Isn’t Just When You Say N*gger,1,1,1,1,1
576,"The Queer Opposition to Pete Buttigieg, Explained",1,1,1,1,1
577,"‘I’m no longer a lesbian,’ Amna Ilyas makes a shocking revelation",1,1,1,1,1
578,Jack and the bean block: Man gets six kidney beans stuck in penis while trying to 'express' himself,0,0,0,0,0
579,Bloomington family fights for transgender daughter amid bill banning her from girls' sports,0,0,1,0,0
580,"Succession recap: season three, episode one – is Logan Roy on the ropes?",0,0,0,0,1
581,PolitiFact in context: Joe Biden’s ‘Negro’ reference to baseball player Satchel Paige,0,0,0,0,0
582,All-White Choir at Western Michigan University Causes Outrage for Singing Negro Spirituals,0,0,0,0,0
583,(Cunts Are Still) 'Running The World' could be Christmas number one,0,0,0,0,0
584,Sex While Wearing Blindfolds: Everything You Need to Know! -,1,0,1,0,0
585,'Cultural competence' key to reduce cardiometabolic risk among South Asian subgroups,1,0,1,1,1
586,Colorado Gov. Jared Polis' Wedding Marks 1st Same-Sex Marriage Of Sitting Governor,0,0,0,0,0
587,"Heather Cocks and Jessica Morgan on sequel 'The Heir Affair,' inherent soapiness of royalty",0,0,1,0,1
588,The first mover is the one that causes the damage.,0,0,0,0,1
589,Black History Month in Ohio: Harrison Dillard,0,1,0,0,0
590,This mother wanted her son to have photos to understand her breast cancer journey,0,0,0,0,0
591,"If ""Squid Game"" Was Set In Australia And Not Korea, This Is What Would Happen",1,0,0,0,0
592,Southeast Asian Governments Squeeze Freedom of the Press,1,0,0,0,0
593,No Return star unpacks tragic episode 1 reveal,0,0,0,0,1
594,"Muslim daughter, 19, and her beer and bacon-loving father, 52, poke fun at their relationship",1,0,0,0,0
595,The story of how Superman came out as bisexual: It 'makes perfect sense',1,0,1,0,0
596,Penis Pumps for Erectile Dysfunction (ED),1,0,1,0,0
597,Papa John’s Founder Blames His Use of the N-Word on Kanye and Colonel Sanders,0,0,0,0,0
598,What It's Like to Take a Luxury Galapagos Cruise,1,0,1,1,0
599,Black History Month: Longest-Running Black Baseball Team Got Its Start In Miami,0,0,0,0,0
600,Frank Harris III: If the N-word were a crime,1,1,1,1,1
601,Meet the Nottingham woman who is 'bringing boobies back',0,0,1,0,0
602,Odisha octogenarian's 'Vihanga Samhita' documents avian heritage,0,0,0,0,1
603,Did The Bachelor Contestants Know Colton Underwood Was Gay During Filming? Hannah Brown Speaks Out,1,0,0,0,0
604,Slipknot Vocalist Tears Apart Machine Gun Kelly Calls Him a 'Weird Substitute Teacher' for Switching Genres,0,0,0,0,0
605,Sarah Jayne Dunn joins Katie McGlynn at Victoria Ekanoye's breast cancer charity event,0,0,1,0,0
606,Duffield and Labour's internal tensions over trans rights. Will Starmer intervene?,1,1,1,0,1
607,"Make The Witcher's Jaskier Bisexual, You Cowards",1,1,1,0,0
608,Roxanne Jones: No one expected Brian Flores to disrupt the NFL like this. But that’s exactly what he did,0,0,0,0,0
609,Chinese jails become hotbeds of coronavirus as 500-plus cases erupt,0,0,0,0,0
610,Itchy Breast or Nipple: Causes and Treatments,0,1,1,0,0
611,XXXTentacion Documentary Officially Announced With Release Timeline,1,0,0,0,1
612,"Southern black baseball league celebrates 100th anniversary, remembers history of segregation",0,0,0,0,0
613,"Owner, architect race to save decaying National Negro Opera house in Homewood",0,0,0,0,0
614,Harvard Can't Keep Muslim and Hindu Students in the Basement | Opinion,0,0,0,0,0
615,The cafe famous for its faggots which Google tried to ban for its 'offensive' name,0,0,0,0,0
616,Best Sex Pills For Men Over The Counter - Stay Hard Penis Pills Reviewed,1,0,0,0,0
617,Hundreds celebrate black culture at a Black History Month pop-up event in Chico,0,0,0,0,0
618,Black History Month: Tony Dungy and Lovie Smith coaching in Super Bowl XLI inspired a generation of players,0,0,0,0,0
619,News: UNM Newsroom,0,0,0,0,1
620,Alleged Islamic State member Lisa Smith told gardaí that prosecution witness was a 'liar' – trial hears,0,0,1,0,0
621,China's Great Property Bubble Deflation Experiment,0,0,0,1,0
622,J. Cole – Heaven's EP Lyrics,0,0,0,0,1
623,Paige VanZant on Rachael Ostovich BKFC fight: 'Come for the boobies',0,0,1,0,0
624,"LIVE: Sleaford Mods @ Brighton Dome, Brighton",1,0,0,0,0
625,Beijing Olympics 2022: Alibaba launches NFT in traditional Chinese ink painting style,0,0,0,1,0
626,Gavin & Stacey: Should outdated lyrics be rewritten to make them acceptable for modern viewers?,0,0,1,0,0
627,'Lost to history': Black Cross Nurses in Nova Scotia in danger of being forgotten,0,0,1,0,0
628,Black and Latino caucuses voice support for proposed budget,0,1,0,0,0
629,Latino-Owned Coffee Shops to Try in Los Angeles (LA),0,0,0,0,0
630,What Forces Are Fueling Myanmar's Rohingya Crisis?,0,1,1,1,1
631,"BJP executing 'Godse agenda', dividing Hindu-Muslim communities: Mehbooba Mufti",0,0,0,0,1
632,Latino Voters Moved To Trump Because Of COVID And ‘Socialism’,0,0,0,0,0
633,Supreme Court Restores Alabama Voting Map That a Court Said Hurt Black Voters,0,0,0,0,0
634,Most Anticipated Reads for the Rest of Us 2022,0,0,0,0,1
635,"The Best Sex Toys For Lesbians, According to a Lesbian",1,0,1,0,0
636,"As Hindu Extremists Call for Killing of Muslims, India’s Leaders Keep Silent",0,0,0,0,0
637,What does 'queer' mean? Definition and history,1,1,1,1,1
638,Negro League baseball players earn spots in the National Baseball Hall of Fame,0,0,0,0,0
639,Jake Tapper calls out China's move during Olympics Opening Ceremony,0,0,0,0,0
640,The family is just trying to ride the tragedy into a big settlement.,0,0,0,0,0
641,How an Erectile Dysfunction Ring Can Help Erectile Dysfunction,1,0,1,0,0
642,Black Culture Connection,1,1,1,1,1
643,Opinion | What My Queer Uncle Taught Me About How to Live,0,0,0,0,0
644,I Found A Queer Community On The Road — & It Reshaped My Concept Of “Family” Forever,1,0,1,0,0
645,"Marvel firsts: 'Eternals' showcases deaf and South Asian superheroes, a gay kiss",1,0,0,0,0
646,"Inside Whitney Houston’s secret torment for being gay, falling for a woman",1,0,1,0,0
647,Yum Brands is going to award two franchises to Black or Latino student entrepreneurs,0,0,0,0,0
648,Boobie mouse pads included with Dead or Alive Xtreme 3 Collector’s Editions,0,0,0,0,0
649,How a fight is brewing over caste in University of California,0,0,0,0,0
650,How televangelist Tammy Faye Messner became a gay icon,1,0,1,0,0
651,"Islamophobia in the US did not start with Trump, but his tweets perpetuate a long history of equating Muslims with ...",0,0,0,0,0
652,"Dhaka Art Summit exhibits South Asian art works, paintings - Xinhua | English.news.cn",0,0,0,0,0
653,Penis Lump: Causes and Treatments,1,0,1,0,0
654,Watain Conjure Up Black Metal Magick on 'The Howling' + Announce New Album,0,0,0,0,0
655,"AMVCA 2020: Living In Bondage, King Of Boys Get Multiple Nominations (FULL LIST)",0,0,0,0,0
656,"South Jersey things to do: Negro Leagues exhibit, Fire & Ice, theater, midget car races",0,0,0,0,0
657,A new documentary cuts through the chaos of David Wojnarowicz,0,0,0,0,1
658,"The Goylem, Angels, and Ghosts of ""Shmutz"": Zine Review",0,0,1,0,0
659,Teacher Fired For Breaking State’s Critical Race Theory Laws After Telling Students She’s Black,0,0,0,0,0
660,The hip hop influence on Latino pop artists,1,0,1,0,0
661,Here's How Funny Boy Has Opened Doors for South Asian Cinema,1,0,0,0,1
662,Michigan city becomes first in the country to inaugurate all-Muslim government,0,0,0,0,0
663,‘The Voice’ Winner Sawyer Fredericks Comes Out As Bisexual,1,1,1,1,0
664,The Particular Pressure To Be Successful As A British South Asian Woman,0,0,1,1,1
665,"Two arrested for lesbian couple's murder, dismemberment in Mexico border city",0,0,0,0,0
666,"As Officials Look Away, Hate Speech in India Nears Dangerous Levels",0,1,1,0,0
667,'Alone With You': Queer horror filled with paranoia,1,1,1,0,1
668,Peruvians demonstrate in support of bull and cock fighting,0,0,0,0,0
669,"Cock Cock… Who's There: A Bold, Intimate and Powerful “Subversion of Victimhood” Coming to Adelaide Festival",1,0,1,0,0
670,Redding's fastball was like a cannonball,1,0,0,0,0
671,Is this cheese lesbian? How a feta at S.F.’s Rainbow Grocery turned into an unlikely queer icon,0,0,1,0,0
672,"Long Read: India’s 1000 one-dayers, one decade at a time",0,0,0,0,0
673,Elsewhere Brewing | Boobie Beer Rosé Hazy IPA,1,0,1,0,1
674,Myanmar Rohingya: What you need to know about the crisis,0,1,0,0,1
675,"Barred from Participating in Public High School Graduation for Using ""Nigger"" in a Tweet?",0,0,0,0,0
676,These Go-To Producers Are Crafting These Rappers' Signature Sound,1,0,0,0,0
677,Civil rights leaders call on the NFL to replace the Rooney Rule,0,0,0,0,0
