,sent,preds
828,How Peach PRC Turned An ‘Anti-Worship’ Viral Hit Into A Coming Out Moment,0
829,CMS program to prepare Latino teachers to become principals struggles to meet its goals,0
830,"Shouldn't the check-in station, have picked that up?",0
831,"Day Nigga Raw, African China set Ebonyi on fire",0
832,Do not confuse a tax break with removing taxes that Obamacare brought on to all of us.,0
833,I'm lost here.,0
834,'Almost impossible': Latinos open businesses faster than any other group but face hurdles,0
835,So if everyone is chastising Caldwell - why remove Jill Tokuda - she just wanted answers,0
836,"Johnson & Johnson has to pay $8 billion after male breast growth linked to antipsychotic drug, jury says",0
837,"Whenever a corporate body fights the possibility of being audited, this says to me that a thorough audit is necessary.",0
838,"Especially since the other ""co-managers"" were allowed to ""mop-up"" the remaining fish recently.",0
839,Dont care.,0
840,UP Elections: Muslims Want Vikas too —but Bhaichara Comes First,0
841,Elsewhere Brewing | Boobie Beer Rosé Hazy IPA,0
842,Always easier to knock stuff down instead of building your own stuff.,0
843,Man said COVID caused his penis to shrink,0
844,'NHL Bound' premiere hopes to inspire quests of Black coaches,0
845,The whole MSM can go spin.,0
846,Is this CNA's first-ever (unintentional) gay-kissing scene?,0
847,Namara Smith · Popcorn and Stale Plush: Joyce Carol Oates in Motion · LRB 10 February 2022,0
848,Agusan farmers soon to be freed from traders' bondage,0
849,A push to remove LGBTQ books in a Texas county could signal rising partisanship on school boards,0
850,"Exactly - automatic resume ""delete"" ......
Or in the good old days of paper: "" file 13 "" ( waste basket ) .....",0
851,"Wrongly accused of genital cutting, a Muslim mom won't accept 'case closed'",0
852,One would think Margaret Thatcher would be the Mother Goddess to whom feminists pray to for guidance for success in the  halls of power.,0
853,Nobody wants the koolaide.,0
854,Actually it was blatant disregard for the American people in thinking that they would want four more years of lying Clinton in office.,0
855,My initial comment was meant to be 'tongue in cheek' humorous.,0
856,She can serve as the ipu heke.,0
857,"""In most fields, women don't receive their fair share, i.e.",0
858,"Umm, Fairbanks (Tanana Valley) = Death Valley.",0
859,Political opponents unite in defeat - Isthmus,0
860,(Cunts Are Still) 'Running The World' could be Christmas number one,0
861,"Macron Meets Putin, Peng Interview, Fight Club Backlash",0
862,"Dude you guys, this is how invasive species start.",1
863,Katie Hopkins Falls Victim to Outrageous Prank By Accepting 'Campaign to Unify the Nation Trophy',0
864,Another sign we are in a bubble....apparently we have way too many real estate agents.,0
865,"Who Is America: Georgia lawmaker Jason Spencer yells racial slurs in ""anti-terrorism"" video.",1
866,lego sued for copyright infringement over queer eye jacket,0
867,Health officials issue warning over an 'extremely antibiotic-resistant' bug mainly affecting gay men,1
868,All adults in the home should be charged.,0
869,Carbon Taxes are the biggest tax scam in history.,0
870,Much like what Rite80 stated- it is all relative.,0
871,You are correct.,0
872,Hillary Clinton's server was the problem .,0
873,South Asian nations increase measures against COVID-19,0
874,Canadian softwood lumber producers have left themselves vulnerable to these tiffs by refusing market expansion into Asia.,0
875,"Shimatta, Sen'tuh.",0
876,"Atlanta gay, bisexual men needed for federal blood donor study",1
877,"Wow, flashing back to ""Vote Conservative Reform Alliance Party without Harper"".",0
878,Hear Ye!,0
879,wiliki lies.,0
880,One in twelve vehicles sold in Canada last year was an F series truck.,0
881,"Interesting strategy go back 2 decades of a previous government, to defend  your policy in 2017, and she  gets away with it!",0
882,"Although this is quite an emotive subjective article, if the allegations are true then it does show callousness on the part of the owners and the department.",0
883,Town Hall Nirvana: Breaking Down Episode 3 of ‘Succession’,0
884,Or he could join the Green Party.,0
885,more mumps to come with the illegals coming in to this sanctuary state thanks to the looney tunes who run our state.,1
886,"I will definitely be holding the big 6 long term so in 5 years we will see who knows what, who is really invested and who is a poser.",0
887,"That's what I love about our government, when a danger to the public arises, they are right on it.",0
888,"Gay students protected, but trans students could still be expelled",0
889,American Muslims Are 2 Times More Likely To Have Attempted Suicide Than Other Groups,0
890,Hope these kids remember that education matters when it comes time to pony up and pay taxes (that includes oil companies).,0
891,Woman shamed for not revealing she's trans to men who flirt with her at clubs,0
892,"Notwithstanding any other non money related reason why hubby wants the wife to keep working ( pause for dramatic effect), I did an easy calculation of the value of hubby's RRSP, TFSA & Non Registered funds total (736,600) and wife's (173,900) and I wonder if he isn't looking at this in money terms only and  doesn't think all things are equal here, and she should keep going.",0
893,Where is the Federal leadership in ensuring that Canadian taxes remain competitive as the US plans to cut taxes?,0
894,A president taketh away the land....and a president returnith the land to it's proper owners....,0
895,Manu Minute: The Boobies of Hawai'i,1
896,Find their sex icky?,1
897,Am I Pansexual? 14 Things to Know If You're Questioning,0
898,"""I Realized I Was Gay"": Men Who Came Out Later In Life Are Sharing What It Was Like For Them To Reveal That Truth And Live Authentically",0
899,the funds will be deposited into a special fund donated to a specific park.,0
900,"TAKE A HIKE with that bs, when you add the fees, taxes, bs like adjustmet charges etc,, we have the worst and highest costs here period.. add to that the regualations , social engineering bs, government interference,, it all adds up to a horrible place to open a business",0
901,4 LGBT+ workers on the joy of an inclusive employer,0
902,Interested to hear Trumpers view on this...#MAGA,0
903,Another $500K grant kick-starts restoration of National Negro Opera Company house,0
904,Tennis Player Holger Rune Yells Gay Slurs During Match,1
905,It's PUBLIC EDUCATION not PRIVATE EDUCATION.,0
906,Yep this is how wars start.,0
907,What is bisexual fashion?,0
908,Looks like cherry picked data.,0
909,Hundreds sign petition as Sheffield risks running out of Muslim burial plots,0
910,?,0
911,"First off: snakes are not animals not warm blooded, they are cold blooded reptiles.",0
912,Baseball Reference Adds Negro League Data In Record Books,0
913,"Oh, James!",0
914,"Remembering Danyale Thompson, Black Trans Woman Tragically Killed",0
915,"The First Amendment states, “Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof.” The “first freedom” is not the free exercise of religion - it is freedom from established religion.",0
916,"Good article, makes you wonder what are the Ten Immutable Laws of Men and Women?",0
917,It is a sad tradgedy i no the family very well and they are awesome parents.,0
918,Chinese Tourists Aren't Coming Back Any Time Soon,0
919,Questioning your sexuality? Bisexual men say one action is critical,0
920,31 Women Who Came Out in 2021,0
921,"Would you STOP getting underaged girls pregnant, weewili???",0
922,Sounds like someone needs a safe space.,0
923,The hip hop influence on Latino pop artists,0
924,South Asian Shipbreakers Continue to Dominate Scrap Trade,0
925,The airlines wanted to remove the family because the parents refused to remove the toddler from the ticketed seat.,0
926,Babyface Ray Airs Out Big Sean On 'Richard Flair',0
927,Time to find a new customer the USA is in decay.,0
928,"That's micro-diversity, fine grained diversity, that is good.",0
929,MSNBC Journalist Accused Of Saying N-Word While Reporting Kobe Bryant’s Death,0
930,You've got to be kidding.,1
931,"Deaf Rappers to Perform With Dr. Dre, Eminem and Others at 2022 Super Bowl Halftime Show",0
932,Oscar Isaac Put His ‘C*ck Sock’ in Denis Villeneuve’s Pocket on ‘Dune’ Set,1
933,"What Is Bisexuality? Plus, How to Know If You're Bi | Shape",1
934,Hilarious Comments on Kanye West and Kim Kardashian's Daughter's TikTok Go Viral,0
935,Sarah Jayne Dunn joins Katie McGlynn at Victoria Ekanoye's breast cancer charity event,0
936,"Birdman: Drake Richest Rapper, NBA YoungBoy Biggest Rapper - XXL",1
937,7 queer TV shows to stream (that aren’t Drag Race),0
938,Muslims in India’s Assam in shock after deadly eviction drive,0
939,"Oh give it a rest, it's not about women.",0
940,You guys are funny...,1
941,Trudeau has angered me so much I will support whichever CPC leader is chosen.,0
942,"Spot on, Don Miller.",0
943,No HCG 3 weeks running ??,0
944,"Diversity, Equity and Inclusion Coordinator, Mo Jackson, Joins South Sound Parent to Parent",0
945,How the Black-Jewish alliance changed America — and today's struggle for voting rights,0
946,Let me start by saying that Derrick McDonald is one of the most respected men I have ever met.,0
947,"Internalized biphobia: Definition, examples, allyship, and more",0
948,"What does her other boss,Jennifer Sabas, have t say about this?",0
949,The Political Vision of South Asian Abstraction,0
950,Women make up half the class at My Nieces Medical School.,0
951,"Koncerned, ""Odds of dying in a lifetime""  is a ridiculous statistic which has no bearing on which is more dangerouous.",0
952,I'm not a fan of Trump as I believe he's an A-Hole but it seems to me that this type of censorship must be a violation of FCC rules.,1
953,"Meet Daizy and Sehar, The Founders of the Australian South Asian Center",0
954,"""So much engagement?""",0
955,"Why So Many Black Voters Are Democrats, Even When They Aren’t Liberal",0
956,If I see any snake it is a dead snake period.,1
957,"Some basic Journalism 101:
Five Ws and One H, 5W1H
Who, What, When, Why, Where.",0
958,"Moving beyond a 'survivor mindset:' Podcast features women discussing growing up Indian American in Mason, Ohio",0
959,"“The real problem is the head clown in the white house has told the immigration and border people they are free to be as abusive as they choose.”

Where “abusive” means simply enforcing existing laws.",1
960,"In 1919, a Mob in Maine Tarred and Feathered Two Black College Students",0
961,Ramsey Solutions faces federal lawsuit after termination of lesbian employee,0
962,'My career-ending injury was a beautiful nightmare' - Thomas Beattie on how he finally accepted himself as gay,1
963,Supreme Court to Hear Case on Gay Rights and Foster Care,0
964,"Keeping the faith, quietly: Inside Muslim Indonesia’s hidden Jewish community",0
965,The Harlem Renaissance was as Queer as it was Black,0
966,"Syl Johnson, Revered and Oft-Sampled Soul Singer, Dead at 85",0
967,The fake news media feel free to put out slanted and sometimes outright fake news under the guise of freedom of the press.,0
968,Structural Violence in the Queer Community: A Comparative Analysis of International Human Rights Protections for LBTIQ+ People,0
969,I agree that BBBEE could be an important part of transforming our society if tweaked in a few important ways.,0
970,A government supervised secret ballot is the time tested basis of democracy.,0
971,"Mitt Romney, Al Gore, John Kerry, and other presidential candidate losers didn't seek out the spotlight after they failed bids.",0
972,"Most surprising part of this story: Fearns could buy a first-class ticket for $1,000.",0
973,Don't buy China's story: The coronavirus may have leaked from a lab,0
974,Pictures: Nigerian contingent on parade as Winter Olympics kicks off in China,0
975,"If Trump were to speak in favour of or against one of the candidates in France's presidential election, would you be just as magnanimous?",0
976,roy oliver deserves to be prosecuted for murder.,1
977,Is it really a surprise that climate deniers are also mysogynistic deniers?,0
978,'Portrait Of A Lady On Fire' Is The Best Movie About Lesbian Yearning Since 'Carol',0
979,George Washington University recants promise to uncover Chinese government critics after artist's satirical Olympics posters appear on campus,0
980,Rejected Mail Ballots Are Showing Racial Disparities,0
981,"Hispanic Center, Alzheimer's Association teaming up for virtual forum",0
982,Queer Eye: Where Are The Season 3 Contestants Now? | ScreenRant,0
983,"Hall of Fame nod long overdue for Buck O'Neil, a baseball legend and class act | Opinion",0
984,ETHICS?,0
985,I found this Backgrounder for Parliamentarians written in 2004.,0
986,"COVID-19 Data On Trans And Gender-Expansive People, Stat!",0
987,I'll bet more people will read her book than read this column.,0
988,"Maybe, but a winning vote for an NDP candidate has always proven to be an overwhelming vote for 'other' 4yrs later.",0
989,The Performance of Racial Passing,0
990,what's funny is how many couples met at their workplace.,0
991,"China Holds the Line on ‘Zero Covid,’ but Some Wonder for How Long",0
992,My Child’s Egg Donor Is Latin American. Does That Make Him Latino?,0
993,"They and especially TOKUDA have shown all of the above, PLUS common sense!",0
994,"seems the consternation is instead rather bi-partisan, and I doubt many on any side will agree with the possibility.",0
995,A new documentary cuts through the chaos of David Wojnarowicz,0
996,"You go, kids!",1
997,Economic freedom elusive?,0
998,Julianna Margulies on playing a lesbian on 'The Morning Show',0
999,Teen runners sue to block trans athletes from girls' sports,0
1000,Miranda Hobbes 'And Just Like That' Sexuality Essay,0
1001,You will always be incorrect when you state that Hillary Clinton is flawed and Donald is not.,0
1002,"Remembering Marquiisha Lawrence, Black Trans Woman With An “Infectious Smile” And A “Heart of Gold” - HRC",0
1003,Wither Christy Clark at 12:01AM on May 10?,0
1004,"And yet a few months ago G and M published articles from  investment ""analysts"" who recommended bank stocks.",0
1005,"""knowledeably"", meaning 'knowledgeably'",0
1006,"Negro League Bobblehead Dolls Honor Newark Eagles, Other Teams",0
1007,Would it surprise you to know the guy emphasizing character was a decorated RAF veteran who was on call 24/7 flying Spitfires against the German Luftwaffe during the Blitz?,0
1008,"China Builds Missile Targets Shaped Like US Aircraft Carrier, Destroyers in Remote Desert - USNI News",0
1009,"here is another example of fake news on april 28th the LA times printed an AP report about a 86 year old woman died after being beat up by a man, that's all they said but the real news in the Sacramento news letter and reported on CBS Sacramento two women an 86 year old Japanese American and a 61 year were walking the track in highlands park when the 86 year old woman heard the 61 year old woman crying for help because the man was raping her the 86 year old turned around to come to her aid and the man raped her an beat her up and she died, the 18 year old was arrested  and also is a person of intrest in two other sexual assults on elderly women of course since he is an African American we cannot report that as news if it was a white guy who did that to an African American it would all over the news that's why very fake news by the AP.",1
1010,Keeping the Faith column: Islamophobia has forced American Muslim community to evolve,0
1011,Bernie Sanders and Hilary Clinton were trying to be President and failed miserably.,1
1012,All-White Choir at Western Michigan University Causes Outrage for Singing Negro Spirituals,0
1013,Look I would vote for her in a minuet based on the 10 dollar a day daycare.,0
1014,"""so awesome to see a young man living his traditions"" 

How many aluminum skiffs, outboard motors, snow machines and 4 wheelers do you see in the picture of the whale kill?",0
1015,Just as good as the NDP using a billion dollar bill for power sold to California during the Made At Enron Power Shortage to claim that they had finally balanced the BC Budget by a few million dollars in the final days of the Ujjall Dosanjh administration.,0
1016,"75 Breast Cancer Quotes for Awareness, Survivors, and Those Fighting It",0
1017,"Arcane teased queer relationships, but season 2 can do better",0
1018,The problem is he is too good at it... it's hard to tell it isn't the real thing.,0
1019,Best Mattress Reddit Australia at Best,1
1020,"like ignorant sheep ,, you dont get it at all, i dont support either the corrupt libs or the anti economy ndp,, but there is no way anyone will win otherwise so its hold your nose and go with the corrupt that will at least keep the economy moving.",1
1021,That's not quite as comforting as one might think.,0
1022,"Poloz said in his speech: “Back in the 1860s, the United States pulled out of a free trade agreement with the colonies of British North America.",0
1023,Meet the Nottingham woman who is 'bringing boobies back',0
1024,Kunt makes No5 again : News 2021,0
1025,"James Bidgood, a Master of Gay Photography, Dies at 88",0
1026,What Bernie Sanders Is Doing Differently to Win Over Latino Voters,0
1027,"Take note State of Hawaii and C&C of Honolulu, this could be us one day --- I hope we won't but the way things are going ....",0
1028,I just like to have noted that the OLD hospital was an achievement of great significance for the development of Toronto.,0
1029,How the Trans-Atlantic Slave Trade Created the African Diaspora,0
1030,Trans Activism’s Long March through Our Institutions,0
1031,Agreed!,0
1032,Children's book 'Calvin' explores kid's experience of coming out as transgender,0
1033,"If you are seriously concerned about a real estate meltdown, get your investments out of Canada.",0
1034,BBC agrees not to broadcast homophobic Fairytale of New York slur in Gavin and Stacey Christmas special,0
1035,"5 things you should know about Ramadan, Islam’s holy month of fasting",0
1036,"Didn't find that with Google but I did find a Globe article reviewing her book which has the following comments (other researchers commenting on Duncan):
""Davies... wrote of her ""breathy, emotion-laden intensity""
""British virologist John Oxford, as saying she was ""a megalomaniac.",0
1037,"Chrissy Teigen, Ayesha Curry, & More Celebrity Women Who Had Their Breast Implants Removed",0
1038,Honoring Black History World War II Service to the Nation,0
1039,Commemorative coins honor Negro Leagues,0
1040,"When it comes to Trump, a whole lot of nothing is better than a whole lot of something.",1
1041,"Here's how to celebrate Black History Month, around Anchorage and virtually",0
1042,funny to you because you like Islamic jihadist infiltrating our colleges and schools and teaching our kids how to hate America I guess you hate America to.,1
1043,"Joseph Hawley: From slavery's bondage to businessman, councilman",0
1044,Chinese Military Turns to U.S. University to Conduct Covert Research,0
1045,Winter Olympics Mark All Too Rare Step Forward for Trans Athletes,0
1046,Oleta Gay Niderost | Obituaries | democratherald.com,0
1047,50 Best Gay Songs: LGBTQ+ Songs To Celebrate Pride All Year,0
1048,"When my friend's baby died during childbirth in Fairbanks, it took years to find a lawyer that would handle the case because doctors and lawyers tend to travel in the same circles and on top of the heartbreak it can be hard to find a lawyer in a small community that is will to go against his golf partner.",0
1049,"Boris Johnson risks losing grip after string of blunders: MPs, experts",0
1050,Exploring Racial Imaginaries in Soviet Visual Culture,0
1051,BC LIBERAL ACCOUNTING.,0
1052,Unknown disease hits fighting cocks in Cotabato City,0
1053,Derbyshire gay man experienced church exorcism meant to turn him straight,0
1054,What did you expect just like Trump and all his friends.,1
1055,"Evidently not hard way enough to stop stupidity, shootings and loss of their lives.",1
1056,This is the same chairperson who struck the sweetheart deal for Kealoha behind closed doors and now this.,0
1057,"Dennis:  Inspired by the moon, humans have employed crescent shapes for numerous symbolic purposes, for thousands of years.",0
1058,"sylvia__s offers of Kellie Leitch, ""She's the best candidate and ran on the best ideas.",0
1059,Chinese City of 3.6 Million Locked Down as Virus Spreads,0
1060,"The Black middle class needs political attention, too",1
1061,Rune Factory 5 Preview: Live Your Comfy Gay Farming Fantasy,0
1062,A Frankfurt Shelter Offers Queer Refugees A Much-needed Safe Place,0
1063,"Note the phrase ""unprecedented spike"".",0
1064,Turbulent priest: India's anti-Muslim firebrand and possible future PM,0
1065,U.S. charges China's Hytera with conspiring with ex-Motorola staff to steal technology,0
1066,Why the hateful comment?,0
1067,"If a patient shows up at a hospital with meth in their system and a history of drug use, it seems reasonable that when the plethora of tests ordered turn out negative, they would send her home.",0
1068,We are doomed if the people of Canada don't rise up against this sort of insanity.,0
1069,Opinion: It's (past) time for queer allies to come out. Passivity won't cut it.,0
1070,"Well, at least some Christian's law.",0
1071,Will jumped off the GOP ship last June.,0
1072,"""Two government sources insist the threat has nothing to do with U.S. President Donald Trump; they say it’s a one-off, specific action related to one dispute, and one Democratic senator in one state.""",0
1073,Sharjeel Imam: Indian activist languishes in jail for a speech,0
1074,Perspective | The case for quoting the n-word in university classrooms,0
1075,"Yes, There’s a New Gay Bar in Greenwich Village",0
1076,"Indians Appropriating Black American Culture, Slang Will Never Be Cool",0
1077,Mayors don't appoint police or fire chiefs.,0
1078,Comments for Disney Bans Guest For Life After Police Escort Him Off Property For Foul Behavior,1
1079,Rocky Ending Explained: Not Just Another Bum From The Neighborhood,0
1080,Notice how many problems they are creating with 'legalization' instead of just decriminalizing cannabis?,0
1081,"Good points, Pat.",0
1082,Dr. Mugisha is a very brave man and needs our prayers.,0
1083,Here's The Big Thing Texas And Other States Get Wrong About Critical Race Theory,0
1084,You are misinformed about BC lumber being sold to Asia.,0
1085,Why Are My Breasts Uneven?,1
1086,Ben Simmons Reportedly Still Pissed at Joel Embiid For Playing The Blame Game,0
1087,Nevada Democratic debate: Warren slams Bloomberg for calling women “fat broads” and “horse-faced lesbians”,0
1088,Latter-day Saint leaders support Arizona’s new gay rights bill,0
1089,"He is the POTUS, hence he is the leader!",0
1090,Opinion | My Gay Retort to All the Grimness,1
1091,This article is a sad indictment of every adviser quoted who does not say outright that they will not roll clients out of  HC product.,0
1092,Local Latino-run businesses adapt to stay afloat during the pandemic,0
1093,Organization of Islamic Cooperation are meeting in Islamabad on Sunday to explor,0
1094,"John, when I spoke of science evolving, I meant modern science.",0
1095,It's 6.33AM local time En Marche !,0
1096,"LGBT+ history: the story of camp, from Little Richard to Lil Nas X",0
1097,A few things have changed our world since those long ago days.,0
1098,"Maia Kobabe's ""Gender Queer"" is targeted by conservative Texas politicians",1
1099,45th session of the Supreme Council of the Muslim World League kicks off,0
1100,I notice Cardinal Wuerl was hustled up for the Rose Garden ceremony.,0
1101,"Haha, your ignorance on the subject is hilarious.",1
1102,"It's not, ever, the 'Tribune,' it's the News Tribune, or at the least the TNT.",0
1103,Like-New 1979 Pontiac Trans Am Headed To Arizona Auction,0
1104,'How do I convince the Home Office I'm a lesbian?',0
1105,Myanmar Rohingya: What you need to know about the crisis,0
1106,"Whoa there,  you we're one of those who used to compare mainland rail systems to what Honolulu is building.",0
1107,Black Mississippi senators walk out in protest over critical race theory ban,0
1108,Lil Nas X Reveals He's in a Relationship and Thinks ‘This Is the One',0
1109,Deadnaming and misgendering of trans people puts trans lives at risk,1
1110,MacKenzie Scott gives $5 million to Boston educational nonprofit,0
1111,Kodak Black Addresses Video Where He Grabs His Mother's Butt,1
1112,That was the concept behind Oregon's and Margaret Sanger's Eugenics program.,0
1113,"17 ""The Bisexual Urge To..."" Tweets That Made The Bisexual In Me Go ""That's Me""",1
1114,"Don't understand what relationship Medical Marijuana has to the Drug Paraphernalia law Of course patients would need a way to deliver their medication, but highly doubt they would be sent to prison if actually a Medical Marijuana patient.",0
1115,Larry Doby Deserves More Recognition In MLB,0
1116,This woman and her parties days are numbered as ruling ONTARIOWE are going to come to an end....just one more year!,0
1117,Scam.,0
1118,‘It’s OK to be gay’: family supports 12-year-old in first Pride March,0
1119,Or rational thinkers.,0
1120,Seriously flawed campaign?,0
1121,"For democracy to function, it is necessary that power not only can, but does change hands now and then.",0
1122,"In July 1937, the Kansas City Monarchs came to Sheboygan and put on a show, routing the semi-pro Chairmakers, 20-4",0
1123,And you believe everything you read.,0
1124,"Woman connected to Chinese Communist Party 'seeking to covertly interfere in UK politics,' MI5 says",0
1125,What I've learned as a bisexual woman in a straight relationship,0
1126,I Belong Here by Anita Sethi review – a healing journey,0
1127,The Tricky Tragedy of Euphoria's Cal Jacobs,0
1128,Historical Treasure: 'The Negro in the History of Indiana' by John Wesley Lyda,0
1129,"Texas teacher who was penalized for being gay wins $100,000 in settlement",1
1130,Andrew Cuomo’s Bizarre Journey Toward Saying the N-Word on the Radio,0
1131,Bisexual - How to know if you're bisexual,1
1132,More people have died from bees and wasps than domestic snakes.,0
1133,China's Great Property Bubble Deflation Experiment,0
1134,The Best LGBTQ+ Couples In The Arrowverse | CBR,0
1135,"No, El Duque 2, a more recent American political figure:

""Before departing for a closely watched trip to Russia this week, Secretary of State Rex Tillerson called on the Kremlin to ""confront"" its meddling in the 2016 U.S. election.",0
1136,Come on underwrought.,0
1137,Why Nobody Should Have To Prove They Are Bi ‘Enough’,0
1138,Black Woman’s Bid to Regain Voting Rights Ends With a 6-Year Prison Sentence,0
1139,"Mary McLeod Bethune a trailblazer for civil rights, education and racial harmony",0
1140,Desmond Tutu's long history of fighting for lesbian and gay rights,0
1141,There isn't really a point you are making.,0
1142,"Gene common in south Asian people doubles risk of Covid death, study finds",0
1143,Lzzy Hale Shares Dark Fan Story That Inspired New Halestorm Song,0
1144,"Middle Eastern and North African Americans may not be perceived, nor perceive themselves, to be White",0
1145,Obviously written in an office in Toronto.,0
1146,... continued some more.,0
1147,Author readings around Boston Feb. 6-12,0
1148,What happened to Brookside cast as Sinbad stars in The Responder – gangland murder to cancer battle and r...,0
1149,"The state should build a dormitory, complete with a cafeteria, to house legislators and state employees temporarily assigned to Juneau.",0
1150,how would you like to be her lawyer and have to argue that mess?,0
1151,New anti-trans bills are trying to ban youth medical treatments in Republican-led states,0
1152,"The Emmerson Reeve made the best case as to what should happen with the current influx of refugee claimants crossing into Canada, that they check in at a border crossing.",0
1153,And this is a commentary on the world today.,0
1154,"Hopefully, with the selection of Bernier the Conservative party will have cast off the ""Progressive"" rump once and for all.",0
1155,More political smoke and mirrors.,0
1156,A Hospital Refused to Provide Medically Necessary Surgery Because I Am Transgender,0
1157,"Why Do Men Use The Word ""Fag?""",1
1158,Shared Trauma Underpins Sikh-Muslim Solidarity in Kashmir,0
1159,"Civil service, judiciary, media are performing at below optimum levels…framers of Constitution would’ve been horrified: Ramachandra Guha",0
1160,'He was supposed to make it': San Antonio Negro League baseball player remembered for his athleticism,0
1161,"Black Country, New Road’s Perilous Triumph",0
1162,Annual Benching for Boobies contest raises funds for cancer research,0
1163,"You do demean,marginalize,dismiss those who disagree with you, sure it's your right.",1
1164,"If I got a dollar every time someone was quoted in the G&M saying, ""be wary of Canadian banks stocks"" (or words to that effect), I'd be a multi-millionaire earning a nice income off the dividends paid by Canadian banks.",1
1165,Lil Wayne – Funeral Lyrics,0
1166,You All Had A Series Of Fascinating Thoughts About The Phrase “Dog C*nt” After Tonight’s ‘Bachie’,1
1167,We would say the same thing about aman if he lost a campaign in this  fashion.,0
1168,"31 Things You Should Never, Ever Say To A Bisexual Person",0
1169,"Now that we know the statistics about the aging demographic in Canada, it is time for all levels of government to pay more attention to the senior population and their needs.",0
1170,The economic state of Latinos in America: The American dream deferred,0
1171,Australians Were Asked For Their Honest Views On Americans And I Can Feel The Burn Of Their Responses Through My Computer Screen,0
1172,BC Premier has embarrassed the PM.,0
1173,"Arnie Kantrowitz, Pioneer of Gay Liberation, Dies at 81",0
1174,"Clinton: ""I take absolute personal responsibility.""",0
1175,South Asian businesses find their groove in the Mission,0
1176,"Probably will be Macron, unless he doesn't get any turnout.",0
1177,Is Arizona's Kyrsten Sinema bad for bisexual Americans?,1
1178,"Umm, no actually, they wouldn't.",0
1179,"This Gay X-Man Is Getting the Cute, Queer Prom of His Dreams",1
1180,The whole idea of autonomous vehicles becomes a whole less cute when the 18 wheeler sitting on your rear bumper has no one at the wheel.,0
1181,Conservatives would do well to to choose O'Toole to lead.,0
1182,Jake Tapper calls out China's move during Olympics Opening Ceremony,0
1183,Golfer Justin Thomas’ apology for anti-gay slur falls short,1
1184,"BEAT CIVIL COMMENTS UP THEY ARE WHAT IS WRONG WITH THIS COUNTRY 
IF YOUR NOT POLITICALLY CORRECT
 NO FREE SPEECH FOR YOU!!!!",1
1185,"""Enter through the narrow gate.",0
1186,"Bayard Rustin, Gay Civil Rights Leader, Is Pardoned in California",0
1187,What has Southasia been reading: 2021 Edition,0
1188,Another Trumphobic snowflake outs himself.,1
1189,"You can suspect it, but I suspect you are wrong.",0
1190,"Opinion | Georgetown Law, Don’t Punish Your New Hire Over His ‘Lesser Black Woman’ Tweet",0
1191,Bisexual FAQ - HRC,1
1192,"Richard,
Most of the pilots who fly year around here are excellent pilots.",0
1193,J Prince Says Joe Rogan Is Not Racist After Videos of Rogan Saying N-Word Go Viral,0
1194,9 Awesome Black Video Game Characters,0
1195,"Meow...

Tabatha's just jealous of the accomplished and lovely Ivanka,-- trying to get her scratches in for this failing liberal paper, lest Ivanka becomes a future presidential contender.",0
1196,Words don't cause suicide.,1
1197,"So many citizens who would have been inclined to vote for the NDP in last federal election, voted strategically instead, and voted for the federal Liberals (different from the B.C.",0
1198,Gay people who come out later in life face unique obstacles,0
1199,"Here is a large body that totally disagrees with transitioning children:
GENDER IDEOLOGY HARMS CHILDREN
Here is their statement & link to their website.",0
1200,The Conservative government in Saskatchewan gets it and is increasing taxes to pay for infrastructure and improvements.,0
1201,PREVIEW: Women's Basketball hosts UAlbany in annual Cancer Awareness Series game,0
1202,"Resist, insist, persist, enlist': ...cover up for, lie for and protect an ambitious  "" rapist""...misogyny indeed

as for a geo-political rival trying to sway an election by saying boo, look at this to the electorate...I'm shocked, I truly am, I think it's always more honest to just organize a coup or a simple invasion regarding the national ambitions of rival states 

and just for the record...“I take absolute personal responsibility"" usually gets followed by...I screwed up...",1
1203,"It matters because if you raise property taxes to pay for it you just punish 50% of the population, and they promised they would not do that before we voted.",0
1204,just open up the Papahanaumokuakea reserve for local fisherman only for trolling  and also for bottom fishing day and night no long liners allowed.,0
1205,“Negro Speed King” Charlie Wiggins' History was Nearly “Eraced”,0
1206,many of the grad students are foreign and will return to their home countries when they finish their studies,0
1207,The house drafted legislation that makes half the states population pay for the other half.,0
1208,Muslim girls fighting against Hijab ban will win: Aakar Patel,0
1209,Sondheim's 'A Little Night Music' Gets a Queer Twist,0
1210,Sex is a Nigga’s game,1
1211,Uh yeah.,0
1212,Video -- It's so cold out here!,0
1213,The only way Comey will ever salvage his reputation is if he brings down Trump and his cronies for treason.,1
1214,Y: The Last Man: The tricky trans politics of the FX series on Hulu,0
1215,Where do you get off from being such an a**,1
1216,'Orange is the New Black': Check out the show's weirdest sex scenes ever – Film Daily,1
1217,There are many contributing factors to education success.,0
1218,there is only one maui super clown,0
1219,Let's see.,0
1220,If this snake was out last night it's dead.,1
1221,"Dance again, puppet!",0
1222,The story of how Superman came out as bisexual: It 'makes perfect sense',0
1223,It's all unknown territory!,0
1224,Greed review: Steve Coogan stars in caustic satire of the nouveau riche,0
1225,This Is Our Story,0
1226,Janine and Lyndon Barrois on Building a Collection That Radiates Black Excellence,0
